Module,Method,Endpoint,Middlewares
"Admin","GET","/api/v1/admin/dashboard/summary","wrappedHandler"
"Admin Field Reports","GET","/api/v1/admin/field-reports","anonymous, getAdminFieldReports"
"Admin Field Reports","GET","/api/v1/admin/field-reports/:reportId","anonymous, getAdminFieldReportDetail"
"Admin Field Reports","PATCH","/api/v1/admin/field-reports/:reportId/status","anonymous, anonymous, updateAdminFieldReportStatus"
"Admin Reports","GET","/api/v1/admin/reports","anonymous, getAdminReports"
"Admin Review Reports","GET","/api/v1/admin/review-reports","anonymous, getAdminReviewReports"
"Admin Review Reports","GET","/api/v1/admin/review-reports/:reportId","anonymous, getAdminReviewReportDetail"
"Admin Review Reports","PATCH","/api/v1/admin/review-reports/:reportId/status","anonymous, anonymous, updateAdminReviewReportStatus"
"Auth","PATCH","/api/v1/auth/change-password","requireAuth, anonymous, wrappedHandler"
"Auth","POST","/api/v1/auth/login","anonymous, wrappedHandler"
"Auth","GET","/api/v1/auth/me","requireAuth, wrappedHandler"
"Auth","POST","/api/v1/auth/register","anonymous, wrappedHandler"
"Field Reports","POST","/api/v1/field-reports","requireAuth, anonymous, multerMiddleware, createFieldReport"
"Health","GET","/health","anonymous"
"Health","GET","/health/live","anonymous"
"Health","GET","/health/ready","anonymous"
"Member Bookings","GET","/api/v1/admin/bookings","wrappedHandler"
"Member Bookings","GET","/api/v1/admin/bookings/:bookingId","anonymous, wrappedHandler"
"Member Bookings","POST","/api/v1/bookings","requireAuth, anonymous, anonymous, wrappedHandler"
"Member Bookings","GET","/api/v1/bookings/availability-slots","anonymous, wrappedHandler"
"Member Bookings","POST","/api/v1/bookings/check-availability","anonymous, wrappedHandler"
"Member Bookings","GET","/api/v1/bookings/my","requireAuth, anonymous, wrappedHandler"
"Member Bookings","GET","/api/v1/bookings/my/:bookingId","requireAuth, anonymous, wrappedHandler"
"Member Bookings","PATCH","/api/v1/bookings/my/:bookingId/cancel","requireAuth, anonymous, wrappedHandler"
"Member Bookings","GET","/api/v1/bookings/my/:bookingId/check-in-qr","requireAuth, anonymous, wrappedHandler"
"Notifications","DELETE","/api/v1/notifications/:notificationId","requireAuth, anonymous, deleteMyNotification"
"Notifications","PATCH","/api/v1/notifications/:notificationId/read","requireAuth, anonymous, markAsRead"
"Notifications","POST","/api/v1/notifications/admin/broadcast","requireAuth, anonymous, anonymous, broadcastNotification"
"Notifications","GET","/api/v1/notifications/me","requireAuth, getMyNotifications"
"Notifications","PATCH","/api/v1/notifications/read-all","requireAuth, markAllAsRead"
"Notifications","GET","/api/v1/notifications/unread-count","requireAuth, getMyUnreadCount"
"Other","GET","/api-docs.json","anonymous"
"Owner Bookings","GET","/api/v1/owner/bookings","anonymous, wrappedHandler"
"Owner Bookings","GET","/api/v1/owner/bookings/:bookingId","anonymous, wrappedHandler"
"Owner Bookings","PATCH","/api/v1/owner/bookings/:bookingId/approve","anonymous, wrappedHandler"
"Owner Bookings","PATCH","/api/v1/owner/bookings/:bookingId/check-in","anonymous, anonymous, wrappedHandler"
"Owner Bookings","PATCH","/api/v1/owner/bookings/:bookingId/complete","anonymous, anonymous, wrappedHandler"
"Owner Bookings","PATCH","/api/v1/owner/bookings/:bookingId/reject","anonymous, anonymous, wrappedHandler"
"Owner Bookings","POST","/api/v1/owner/bookings/check-in/scan","anonymous, wrappedHandler"
"Owner Reviews","GET","/api/v1/owner/reviews","getOwnerReviews"
"Owner Reviews","PATCH","/api/v1/owner/reviews/:reviewId/reply","anonymous, anonymous, replyOwnerReview"
"Owner Reviews","POST","/api/v1/owner/reviews/:reviewId/reply","anonymous, anonymous, replyOwnerReview"
"Owner Vouchers","GET","/api/v1/owner/vouchers","getOwnerVouchers"
"Owner Vouchers","POST","/api/v1/owner/vouchers","getOwnerVouchers"
"Owner Vouchers","GET","/api/v1/owner/vouchers/:voucherId","anonymous, getOwnerVoucherDetail"
"Owner Vouchers","PATCH","/api/v1/owner/vouchers/:voucherId","anonymous, getOwnerVoucherDetail"
"Owner Vouchers","PATCH","/api/v1/owner/vouchers/:voucherId/status","anonymous, anonymous, updateOwnerVoucherStatus"
"Owners","GET","/api/v1/admin/owner-registrations","wrappedHandler"
"Owners","GET","/api/v1/admin/owner-registrations/:userId","anonymous, wrappedHandler"
"Owners","PATCH","/api/v1/admin/owner-registrations/:userId/approve","anonymous, wrappedHandler"
"Owners","PATCH","/api/v1/admin/owner-registrations/:userId/reject","anonymous, anonymous, wrappedHandler"
"Owners","DELETE","/api/v1/owner/blackout-dates/:blackoutDateId","anonymous, wrappedHandler"
"Owners","GET","/api/v1/owner/dashboard/recent-bookings","wrappedHandler"
"Owners","GET","/api/v1/owner/dashboard/recent-notifications","wrappedHandler"
"Owners","GET","/api/v1/owner/dashboard/summary","wrappedHandler"
"Owners","GET","/api/v1/owner/profile/me","requireAuth, anonymous, anonymous, wrappedHandler"
"Owners","PATCH","/api/v1/owner/profile/me","requireAuth, anonymous, anonymous, wrappedHandler"
"Owners","POST","/api/v1/owner/registration","requireAuth, anonymous, wrappedHandler"
"Owners","GET","/api/v1/owner/registration/me","requireAuth, wrappedHandler"
"Owners","PATCH","/api/v1/owner/registration/me","requireAuth, wrappedHandler"
"Owners","GET","/api/v1/owner/reports","anonymous, getOwnerReports"
"Payments","GET","/api/v1/payments/:paymentId","requireAuth, anonymous, getPaymentDetail"
"Payments","POST","/api/v1/payments/:paymentId/simulate-failed","requireAuth, anonymous, simulateFailed"
"Payments","POST","/api/v1/payments/:paymentId/simulate-success","requireAuth, anonymous, simulateSuccess"
"Payments","GET","/api/v1/payments/by-booking/:bookingId","requireAuth, anonymous, getPaymentByBooking"
"Payments","POST","/api/v1/payments/create","requireAuth, anonymous, createPayment"
"Public Fields","GET","/api/v1/admin/fields","wrappedHandler"
"Public Fields","PATCH","/api/v1/admin/fields/:fieldId/approve","anonymous, wrappedHandler"
"Public Fields","PATCH","/api/v1/admin/fields/:fieldId/reject","anonymous, anonymous, wrappedHandler"
"Public Fields","GET","/api/v1/fields","anonymous, getPublicFields"
